time1,angle1,time2,angle2,Time (s) Run #3,"Angle, Ch P1 (rad) Run #3",Time (s) Run #4,"Angle, Ch P1 (rad) Run #4",Time (s) Run #5,"Angle, Ch P1 (rad) Run #5",Time (s) Run #7,"Angle, Ch P1 (rad) Run #7",Time (s) 0.2,"Angle, Ch P1 (rad) 0.2",Time (s) 0.3,"Angle, Ch P1 (rad) 0.3",Time (s) 0.35,"Angle, Ch P1 (rad) 0.35",Time (s) 0.4,"Angle, Ch P1 (rad) 0.4",Time (s) 0.45,"Angle, Ch P1 (rad) 0.45",Time (s) 0.5,"Angle, Ch P1 (rad) 0.5",Time (s) 0.55,"Angle, Ch P1 (rad) 0.55",Time (s) 0,"Angle, Ch P1 (rad) 0",Time (s) 0.2,"Angle, Ch P1 (rad) 0.2",Time (s) 0.54,"Angle, Ch P1 (rad) 0.54",Time (s) 0.56,"Angle, Ch P1 (rad) 0.56",Time (s) 0.53,"Angle, Ch P1 (rad) 0.53",Time (s) 0.51,"Angle, Ch P1 (rad) 0.51",Time (s) 0.08,"Angle, Ch P1 (rad) 0.08",Time (s) 0.1,"Angle, Ch P1 (rad) 0.1",Time (s) 0.04,"Angle, Ch P1 (rad) 0.04"
0,-0.02513276,0,0.009424785,0,-0.010995583,0,0.023561963,0,-0.015707975,0,-0.026703558,0,0.00628319,0,0.026703558,0,-0.004712393,0,-0.036128343,0,-0.014137178,0,-0.023561963,0,0.00628319,0,-0.015707975,0,0.020420368,0,-0.014137178,0,-0.007853988,0,-0.039269938,0,0.048694723,0,-0.02513276,0,-0.015707975,0,0
0.01,-0.029845153,0.01,0.010995583,0.01,-0.01256638,0.01,0.026703558,0.01,-0.017278773,0.01,-0.029845153,0.01,0.009424785,0.01,0.03141595,0.01,-0.007853988,0.01,-0.040840735,0.01,-0.015707975,0.01,-0.028274355,0.01,0.00628319,0.01,-0.01884957,0.01,0.023561963,0.01,-0.015707975,0.01,-0.010995583,0.01,-0.04398233,0.01,0.054977913,0.01,-0.028274355,0.01,-0.01884957,0.01,0
0.02,-0.032986748,0.02,0.01256638,0.02,-0.014137178,0.02,0.03141595,0.02,-0.021991165,0.02,-0.03141595,0.02,0.010995583,0.02,0.034557545,0.02,-0.009424785,0.02,-0.045553128,0.02,-0.015707975,0.02,-0.032986748,0.02,0.004712393,0.02,-0.021991165,0.02,0.026703558,0.02,-0.01884957,0.02,-0.01256638,0.02,-0.05026552,0.02,0.061261103,0.02,-0.03141595,0.02,-0.021991165,0.02,-0.001570798
0.03,-0.036128343,0.03,0.015707975,0.03,-0.014137178,0.03,0.034557545,0.03,-0.02513276,0.03,-0.034557545,0.03,0.01256638,0.03,0.039269938,0.03,-0.01256638,0.03,-0.05026552,0.03,-0.015707975,0.03,-0.03769914,0.03,0.004712393,0.03,-0.023561963,0.03,0.029845153,0.03,-0.021991165,0.03,-0.015707975,0.03,-0.05654871,0.03,0.065973495,0.03,-0.034557545,0.03,-0.02513276,0.03,-0.003141595
0.04,-0.039269938,0.04,0.017278773,0.04,-0.015707975,0.04,0.039269938,0.04,-0.028274355,0.04,-0.036128343,0.04,0.015707975,0.04,0.04398233,0.04,-0.015707975,0.04,-0.054977913,0.04,-0.015707975,0.04,-0.042411533,0.04,0.003141595,0.04,-0.026703558,0.04,0.032986748,0.04,-0.02513276,0.04,-0.01884957,0.04,-0.0628319,0.04,0.072256685,0.04,-0.03769914,0.04,-0.028274355,0.04,-0.004712393
0.05,-0.042411533,0.05,0.020420368,0.05,-0.015707975,0.05,0.042411533,0.05,-0.03141595,0.05,-0.03769914,0.05,0.01884957,0.05,0.047123925,0.05,-0.01884957,0.05,-0.059690305,0.05,-0.015707975,0.05,-0.048694723,0.05,0.001570798,0.05,-0.029845153,0.05,0.036128343,0.05,-0.029845153,0.05,-0.021991165,0.05,-0.06911509,0.05,0.076969078,0.05,-0.039269938,0.05,-0.032986748,0.05,-0.00628319
0.06,-0.045553128,0.06,0.021991165,0.06,-0.017278773,0.06,0.047123925,0.06,-0.036128343,0.06,-0.039269938,0.06,0.021991165,0.06,0.051836318,0.06,-0.021991165,0.06,-0.064402698,0.06,-0.014137178,0.06,-0.053407115,0.06,-4.34E-19,0.06,-0.032986748,0.06,0.039269938,0.06,-0.032986748,0.06,-0.02513276,0.06,-0.076969078,0.06,0.08168147,0.06,-0.042411533,0.06,-0.036128343,0.06,-0.007853988
0.07,-0.048694723,0.07,0.02513276,0.07,-0.017278773,0.07,0.051836318,0.07,-0.040840735,0.07,-0.040840735,0.07,0.023561963,0.07,0.054977913,0.07,-0.026703558,0.07,-0.06911509,0.07,-0.014137178,0.07,-0.059690305,0.07,-0.001570798,0.07,-0.034557545,0.07,0.042411533,0.07,-0.036128343,0.07,-0.028274355,0.07,-0.083252268,0.07,0.086393863,0.07,-0.045553128,0.07,-0.039269938,0.07,-0.010995583
0.08,-0.051836318,0.08,0.028274355,0.08,-0.017278773,0.08,0.05654871,0.08,-0.04398233,0.08,-0.040840735,0.08,0.028274355,0.08,0.059690305,0.08,-0.029845153,0.08,-0.073827483,0.08,-0.01256638,0.08,-0.065973495,0.08,-0.004712393,0.08,-0.03769914,0.08,0.045553128,0.08,-0.040840735,0.08,-0.032986748,0.08,-0.089535458,0.08,0.091106255,0.08,-0.047123925,0.08,-0.04398233,0.08,-0.01256638
0.09,-0.054977913,0.09,0.03141595,0.09,-0.01884957,0.09,0.059690305,0.09,-0.048694723,0.09,-0.040840735,0.09,0.03141595,0.09,0.0628319,0.09,-0.034557545,0.09,-0.078539875,0.09,-0.010995583,0.09,-0.072256685,0.09,-0.00628319,0.09,-0.040840735,0.09,0.048694723,0.09,-0.04398233,0.09,-0.036128343,0.09,-0.095818648,0.09,0.095818648,0.09,-0.05026552,0.09,-0.047123925,0.09,-0.015707975
