"Time (s) run 1","Angle, Ch P2 (rad) run 1","Time (s) Run #2","Angle, Ch P2 (rad) Run #2","Time (s) 1.11","Angle, Ch P2 (rad) 1.11","Time (s) Run #4","Angle, Ch P2 (rad) Run #4","Time (s) Run #5","Angle, Ch P2 (rad) Run #5","Time (s) Run #6","Angle, Ch P2 (rad) Run #6","Time (s) Run #7","Angle, Ch P2 (rad) Run #7","Time (s) Run #8","Angle, Ch P2 (rad) Run #8","Time (s) Run #9","Angle, Ch P2 (rad) Run #9","Time (s) Run #10","Angle, Ch P2 (rad) Run #10"
0.000,0.0596903050,0.000,-0.0848230650,0.000,0.0565487100,0.000,0.1759293200,0.000,0.1617921425,0.000,-0.0832522675,0.000,-0.0455531275,0.000,-0.0675442925,0.000,0.0376991400,0.000,-0.0345575450
0.010,0.0644026975,0.010,-0.0926770525,0.010,0.0612611025,0.010,0.2010620800,0.010,0.1853541050,0.010,-0.0911062550,0.010,-0.0549779125,0.010,-0.0769690775,0.010,0.0471239250,0.010,-0.0408407350
0.020,0.0691150900,0.020,-0.1005310400,0.020,0.0644026975,0.020,0.2277656375,0.020,0.2073452700,0.020,-0.0989602425,0.020,-0.0644026975,0.020,-0.0879646600,0.020,0.0565487100,0.020,-0.0455531275
0.030,0.0722566850,0.030,-0.1068142300,0.030,0.0675442925,0.030,0.2544691950,0.030,0.2309072325,0.030,-0.1068142300,0.030,-0.0738274825,0.030,-0.0973894450,0.030,0.0675442925,0.030,-0.0518363175
0.040,0.0738274825,0.040,-0.1115266225,0.040,0.0706858875,0.040,0.2827435500,0.040,0.2544691950,0.040,-0.1146682175,0.040,-0.0848230650,0.040,-0.1068142300,0.040,0.0801106725,0.040,-0.0581195075
0.050,0.0769690775,0.050,-0.1162390150,0.050,0.0722566850,0.050,0.3094471075,0.050,0.2764603600,0.050,-0.1193806100,0.050,-0.0958186475,0.050,-0.1178098125,0.050,0.0942478500,0.050,-0.0644026975
0.060,0.0769690775,0.060,-0.1209514075,0.060,0.0738274825,0.060,0.3345798675,0.060,0.3000223225,0.060,-0.1256638000,0.060,-0.1068142300,0.060,-0.1272345975,0.060,0.1068142300,0.060,-0.0706858875
0.070,0.0769690775,0.070,-0.1225222050,0.070,0.0738274825,0.070,0.3612834250,0.070,0.3220134875,0.070,-0.1303761925,0.070,-0.1193806100,0.070,-0.1382301800,0.070,0.1225222050,0.070,-0.0769690775
0.080,0.0769690775,0.080,-0.1240930025,0.080,0.0738274825,0.080,0.3879869825,0.080,0.3455754500,0.080,-0.1335177875,0.080,-0.1319469900,0.080,-0.1476549650,0.080,0.1382301800,0.080,-0.0848230650
0.090,0.0753982800,0.090,-0.1256638000,0.090,0.0722566850,0.090,0.4162613375,0.090,0.3675666150,0.090,-0.1366593825,0.090,-0.1445133700,0.090,-0.1586505475,0.090,0.1555089525,0.090,-0.0911062550
0.100,0.0738274825,0.100,-0.1256638000,0.100,0.0706858875,0.100,0.4445356925,0.100,0.3895577800,0.100,-0.1398009775,0.100,-0.1570797500,0.100,-0.1680753325,0.100,0.1727877250,0.100,-0.0973894450
