"Time (s) 0","Angle, Ch P1 (rad) 0","Time (s) 0.04","Angle, Ch P1 (rad) 0.04","Time (s) 0.06","Angle, Ch P1 (rad) 0.06","Time (s) 0.1","Angle, Ch P1 (rad) 0.1","Time (s) 0.15","Angle, Ch P1 (rad) 0.15","Time (s) 0.2","Angle, Ch P1 (rad) 0.2","Time (s) 0.25","Angle, Ch P1 (rad) 0.25","Time (s) 0.3","Angle, Ch P1 (rad) 0.3","Time (s) 0.35","Angle, Ch P1 (rad) 0.35","Time (s) 0.4","Angle, Ch P1 (rad) 0.4","Time (s) 0.44","Angle, Ch P1 (rad) 0.44","Time (s) 0.46","Angle, Ch P1 (rad) 0.46","Time (s) 0.47","Angle, Ch P1 (rad) 0.47","Time (s) 0.49","Angle, Ch P1 (rad) 0.49","Time (s) 0.52","Angle, Ch P1 (rad) 0.52","Time (s) 0.51","Angle, Ch P1 (rad) 0.51","Time (s) 0.5","Angle, Ch P1 (rad) 0.5"
0.000,0.0329867475,0.000,-0.0204203675,0.000,-0.0062831900,0.000,0.0502655200,0.000,0.0596903050,0.000,-0.0204203675,0.000,0.0486947225,0.000,0.0314159500,0.000,0.0000000000,0.000,0.0125663800,0.000,0.0486947225,0.000,-0.0565487100,0.000,-0.0455531275,0.000,-0.0267035575,0.000,0.0486947225,0.000,-0.0596903050,0.000,0.0942478500
0.010,0.0376991400,0.010,-0.0235619625,0.010,-0.0062831900,0.010,0.0565487100,0.010,0.0691150900,0.010,-0.0251327600,0.010,0.0549779125,0.010,0.0329867475,0.010,-0.0015707975,0.010,0.0125663800,0.010,0.0549779125,0.010,-0.0628319000,0.010,-0.0534071150,0.010,-0.0314159500,0.010,0.0565487100,0.010,-0.0691150900,0.010,0.1068142300
0.020,0.0424115325,0.020,-0.0267035575,0.020,-0.0062831900,0.020,0.0628319000,0.020,0.0769690775,0.020,-0.0298451525,0.020,0.0628319000,0.020,0.0361283425,0.020,-0.0031415950,0.020,0.0125663800,0.020,0.0612611025,0.020,-0.0675442925,0.020,-0.0596903050,0.020,-0.0376991400,0.020,0.0644026975,0.020,-0.0769690775,0.020,0.1178098125
0.030,0.0471239250,0.030,-0.0298451525,0.030,-0.0062831900,0.030,0.0691150900,0.030,0.0848230650,0.030,-0.0345575450,0.030,0.0691150900,0.030,0.0376991400,0.030,-0.0047123925,0.030,0.0109955825,0.030,0.0675442925,0.030,-0.0722566850,0.030,-0.0659734950,0.030,-0.0439823300,0.030,0.0722566850,0.030,-0.0848230650,0.030,0.1303761925
0.040,0.0518363175,0.040,-0.0345575450,0.040,-0.0062831900,0.040,0.0753982800,0.040,0.0926770525,0.040,-0.0392699375,0.040,0.0753982800,0.040,0.0392699375,0.040,-0.0062831900,0.040,0.0094247850,0.040,0.0738274825,0.040,-0.0769690775,0.040,-0.0738274825,0.040,-0.0502655200,0.040,0.0801106725,0.040,-0.0926770525,0.040,0.1429425725
0.050,0.0565487100,0.050,-0.0376991400,0.050,-0.0047123925,0.050,0.0816814700,0.050,0.1005310400,0.050,-0.0455531275,0.050,0.0832522675,0.050,0.0408407350,0.050,-0.0094247850,0.050,0.0078539875,0.050,0.0801106725,0.050,-0.0801106725,0.050,-0.0801106725,0.050,-0.0549779125,0.050,0.0879646600,0.050,-0.1005310400,0.050,0.1539381550
0.060,0.0596903050,0.060,-0.0408407350,0.060,-0.0031415950,0.060,0.0863938625,0.060,0.1083850275,0.060,-0.0502655200,0.060,0.0895354575,0.060,0.0424115325,0.060,-0.0125663800,0.060,0.0047123925,0.060,0.0863938625,0.060,-0.0832522675,0.060,-0.0863938625,0.060,-0.0612611025,0.060,0.0942478500,0.060,-0.1083850275,0.060,0.1649337375
0.070,0.0644026975,0.070,-0.0439823300,0.070,-0.0031415950,0.070,0.0926770525,0.070,0.1162390150,0.070,-0.0565487100,0.070,0.0958186475,0.070,0.0424115325,0.070,-0.0141371775,0.070,0.0015707975,0.070,0.0926770525,0.070,-0.0848230650,0.070,-0.0926770525,0.070,-0.0691150900,0.070,0.1021018375,0.070,-0.1146682175,0.070,0.1759293200
0.080,0.0691150900,0.080,-0.0471239250,0.080,-0.0015707975,0.080,0.0973894450,0.080,0.1240930025,0.080,-0.0628319000,0.080,0.1021018375,0.080,0.0424115325,0.080,-0.0188495700,0.080,-0.0015707975,0.080,0.0973894450,0.080,-0.0863938625,0.080,-0.0989602425,0.080,-0.0753982800,0.080,0.1099558250,0.080,-0.1209514075,0.080,0.1869249025
0.090,0.0738274825,0.090,-0.0502655200,0.090,0.0015707975,0.090,0.1021018375,0.090,0.1319469900,0.090,-0.0675442925,0.090,0.1083850275,0.090,0.0424115325,0.090,-0.0219911650,0.090,-0.0047123925,0.090,0.1036726350,0.090,-0.0879646600,0.090,-0.1052434325,0.090,-0.0832522675,0.090,0.1178098125,0.090,-0.1272345975,0.090,0.1947788900
0.100,0.0785398750,0.100,-0.0549779125,0.100,0.0031415950,0.100,0.1068142300,0.100,0.1398009775,0.100,-0.0738274825,0.100,0.1146682175,0.100,0.0424115325,0.100,-0.0251327600,0.100,-0.0094247850,0.100,0.1083850275,0.100,-0.0879646600,0.100,-0.1115266225,0.100,-0.0895354575,0.100,0.1240930025,0.100,-0.1350885850,0.100,0.2042036750
0.110,0.0832522675,0.110,-0.0581195075,0.110,0.0047123925,0.110,0.1115266225,0.110,0.1460841675,0.110,-0.0801106725,0.110,0.1209514075,0.110,0.0408407350,0.110,-0.0298451525,0.110,-0.0141371775,0.110,0.1130974200,0.110,-0.0879646600,0.110,-0.1178098125,0.110,-0.0973894450,0.110,0.1319469900,0.110,-0.1413717750,0.110,0.2120576625
0.120,0.0879646600,0.120,-0.0612611025,0.120,0.0078539875,0.120,0.1162390150,0.120,0.1539381550,0.120,-0.0863938625,0.120,0.1256638000,0.120,0.0408407350,0.120,-0.0329867475,0.120,-0.0188495700,0.120,0.1178098125,0.120,-0.0879646600,0.120,-0.1240930025,0.120,-0.1052434325,0.120,0.1382301800,0.120,-0.1476549650,0.120,0.2183408525
0.130,0.0926770525,0.130,-0.0659734950,0.130,0.0094247850,0.130,0.1193806100,0.130,0.1602213450,0.130,-0.0926770525,0.130,0.1319469900,0.130,0.0376991400,0.130,-0.0376991400,0.130,-0.0251327600,0.130,0.1209514075,0.130,-0.0863938625,0.130,-0.1288053950,0.130,-0.1130974200,0.130,0.1445133700,0.130,-0.1539381550,0.130,0.2261948400
0.140,0.0958186475,0.140,-0.0691150900,0.140,0.0125663800,0.140,0.1225222050,0.140,0.1665045350,0.140,-0.0989602425,0.140,0.1366593825,0.140,0.0361283425,0.140,-0.0424115325,0.140,-0.0314159500,0.140,0.1256638000,0.140,-0.0848230650,0.140,-0.1335177875,0.140,-0.1193806100,0.140,0.1507965600,0.140,-0.1602213450,0.140,0.2324780300
0.150,0.1005310400,0.150,-0.0722566850,0.150,0.0157079750,0.150,0.1272345975,0.150,0.1727877250,0.150,-0.1052434325,0.150,0.1413717750,0.150,0.0345575450,0.150,-0.0471239250,0.150,-0.0376991400,0.150,0.1288053950,0.150,-0.0816814700,0.150,-0.1382301800,0.150,-0.1272345975,0.150,0.1570797500,0.150,-0.1649337375,0.150,0.2371904225
0.160,0.1052434325,0.160,-0.0753982800,0.160,0.0188495700,0.160,0.1288053950,0.160,0.1790709150,0.160,-0.1130974200,0.160,0.1460841675,0.160,0.0314159500,0.160,-0.0534071150,0.160,-0.0439823300,0.160,0.1319469900,0.160,-0.0785398750,0.160,-0.1429425725,0.160,-0.1350885850,0.160,0.1617921425,0.160,-0.1696461300,0.160,0.2419028150
0.170,0.1099558250,0.170,-0.0785398750,0.170,0.0219911650,0.170,0.1319469900,0.170,0.1853541050,0.170,-0.1193806100,0.170,0.1507965600,0.170,0.0282743550,0.170,-0.0581195075,0.170,-0.0518363175,0.170,0.1350885850,0.170,-0.0753982800,0.170,-0.1476549650,0.170,-0.1429425725,0.170,0.1665045350,0.170,-0.1743585225,0.170,0.2450444100
0.180,0.1146682175,0.180,-0.0832522675,0.180,0.0251327600,0.180,0.1350885850,0.180,0.1900664975,0.180,-0.1256638000,0.180,0.1555089525,0.180,0.0251327600,0.180,-0.0628319000,0.180,-0.0596903050,0.180,0.1366593825,0.180,-0.0706858875,0.180,-0.1523673575,0.180,-0.1492257625,0.180,0.1727877250,0.180,-0.1775001175,0.180,0.2466152075
0.190,0.1178098125,0.190,-0.0863938625,0.190,0.0282743550,0.190,0.1366593825,0.190,0.1963496875,0.190,-0.1319469900,0.190,0.1602213450,0.190,0.0204203675,0.190,-0.0691150900,0.190,-0.0675442925,0.190,0.1398009775,0.190,-0.0659734950,0.190,-0.1555089525,0.190,-0.1570797500,0.190,0.1775001175,0.190,-0.1806417125,0.190,0.2481860050
0.200,0.1225222050,0.200,-0.0895354575,0.200,0.0329867475,0.200,0.1382301800,0.200,0.2010620800,0.200,-0.1398009775,0.200,0.1633629400,0.200,0.0157079750,0.200,-0.0738274825,0.200,-0.0753982800,0.200,0.1413717750,0.200,-0.0596903050,0.200,-0.1586505475,0.200,-0.1633629400,0.200,0.1822125100,0.200,-0.1837833075,0.200,0.2497568025
0.210,0.1272345975,0.210,-0.0926770525,0.210,0.0361283425,0.210,0.1398009775,0.210,0.2057744725,0.210,-0.1460841675,0.210,0.1665045350,0.210,0.0125663800,0.210,-0.0801106725,0.210,-0.0832522675,0.210,0.1429425725,0.210,-0.0534071150,0.210,-0.1617921425,0.210,-0.1712169275,0.210,0.1869249025,0.210,-0.1869249025,0.210,0.2497568025
0.220,0.1303761925,0.220,-0.0958186475,0.220,0.0408407350,0.220,0.1413717750,0.220,0.2104868650,0.220,-0.1539381550,0.220,0.1696461300,0.220,0.0062831900,0.220,-0.0848230650,0.220,-0.0926770525,0.220,0.1429425725,0.220,-0.0471239250,0.220,-0.1633629400,0.220,-0.1775001175,0.220,0.1900664975,0.220,-0.1884957000,0.220,0.2497568025
0.230,0.1350885850,0.230,-0.0989602425,0.230,0.0439823300,0.230,0.1429425725,0.230,0.2136284600,0.230,-0.1602213450,0.230,0.1727877250,0.230,0.0015707975,0.230,-0.0911062550,0.230,-0.1005310400,0.230,0.1445133700,0.230,-0.0408407350,0.230,-0.1665045350,0.230,-0.1837833075,0.230,0.1932080925,0.230,-0.1900664975,0.230,0.2481860050
0.240,0.1382301800,0.240,-0.1021018375,0.240,0.0486947225,0.240,0.1429425725,0.240,0.2167700550,0.240,-0.1665045350,0.240,0.1759293200,0.240,-0.0031415950,0.240,-0.0973894450,0.240,-0.1083850275,0.240,0.1445133700,0.240,-0.0329867475,0.240,-0.1680753325,0.240,-0.1900664975,0.240,0.1963496875,0.240,-0.1900664975,0.240,0.2466152075
0.250,0.1413717750,0.250,-0.1052434325,0.250,0.0534071150,0.250,0.1429425725,0.250,0.2214824475,0.250,-0.1743585225,0.250,0.1790709150,0.250,-0.0094247850,0.250,-0.1021018375,0.250,-0.1178098125,0.250,0.1429425725,0.250,-0.0251327600,0.250,-0.1696461300,0.250,-0.1947788900,0.250,0.1994912825,0.250,-0.1900664975,0.250,0.2434736125
0.260,0.1460841675,0.260,-0.1068142300,0.260,0.0581195075,0.260,0.1429425725,0.260,0.2230532450,0.260,-0.1806417125,0.260,0.1806417125,0.260,-0.0157079750,0.260,-0.1083850275,0.260,-0.1272345975,0.260,0.1429425725,0.260,-0.0172787725,0.260,-0.1696461300,0.260,-0.1994912825,0.260,0.2010620800,0.260,-0.1900664975,0.260,0.2387612200
0.270,0.1492257625,0.270,-0.1099558250,0.270,0.0628319000,0.270,0.1429425725,0.270,0.2261948400,0.270,-0.1884957000,0.270,0.1822125100,0.270,-0.0204203675,0.270,-0.1146682175,0.270,-0.1366593825,0.270,0.1413717750,0.270,-0.0078539875,0.270,-0.1712169275,0.270,-0.2042036750,0.270,0.2026328775,0.270,-0.1900664975,0.270,0.2340488275
0.280,0.1523673575,0.280,-0.1130974200,0.280,0.0675442925,0.280,0.1429425725,0.280,0.2293364350,0.280,-0.1947788900,0.280,0.1837833075,0.280,-0.0267035575,0.280,-0.1193806100,0.280,-0.1445133700,0.280,0.1398009775,0.280,1.0408340856E-17,0.280,-0.1712169275,0.280,-0.2073452700,0.280,0.2042036750,0.280,-0.1884957000,0.280,0.2277656375
0.290,0.1555089525,0.290,-0.1162390150,0.290,0.0722566850,0.290,0.1413717750,0.290,0.2309072325,0.290,-0.2010620800,0.290,0.1837833075,0.290,-0.0329867475,0.290,-0.1256638000,0.290,-0.1539381550,0.290,0.1382301800,0.290,0.0094247850,0.290,-0.1696461300,0.290,-0.2120576625,0.290,0.2042036750,0.290,-0.1869249025,0.290,0.2230532450
0.300,0.1586505475,0.300,-0.1193806100,0.300,0.0769690775,0.300,0.1398009775,0.300,0.2324780300,0.300,-0.2073452700,0.300,0.1853541050,0.300,-0.0408407350,0.300,-0.1303761925,0.300,-0.1633629400,0.300,0.1366593825,0.300,0.0188495700,0.300,-0.1696461300,0.300,-0.2167700550,0.300,0.2042036750,0.300,-0.1853541050,0.300,0.2151992575
0.310,0.1602213450,0.310,-0.1209514075,0.310,0.0816814700,0.310,0.1382301800,0.310,0.2340488275,0.310,-0.2136284600,0.310,0.1853541050,0.310,-0.0471239250,0.310,-0.1366593825,0.310,-0.1712169275,0.310,0.1335177875,0.310,0.0282743550,0.310,-0.1680753325,0.310,-0.2199116500,0.310,0.2042036750,0.310,-0.1822125100,0.310,0.2073452700
